year;resolution_number;status
2026;2026-048;Not found (404)
2026;2026-089;Not found (404)
2026;2026-159;Not found (404)
2026;2026-160;Not found (404)
2026;2026-161;Not found (404)
2026;2026-184;Not found (404)
2026;2026-186;Not found (404)
2026;2026-189;Not found (404)
2026;2026-195;Not found (404)
2025;2025-001;Not found (404)
2025;2025-022;Not found (404)
2025;2025-027;Not found (404)
2025;2025-030;Not found (404)
2025;2025-110;Not found (404)
2025;2025-137;Not found (404)
2025;2025-140;Excluded by scraper
2025;2025-141;Excluded by scraper
2025;2025-142;Excluded by scraper
2025;2025-143;Not found (404)
2025;2025-153;Not found (404)
2025;2025-162;Not found (404)
2025;2025-163;Not found (404)
2025;2025-175;Not found (404)
2025;2025-176;Not found (404)
2025;2025-187;Excluded by scraper
2024;2024-010;Not found (404)
2024;2024-011;Not found (404)
2024;2024-021;Not found (404)
2024;2024-022;Not found (404)
2024;2024-023;Not found (404)
2024;2024-024;Not found (404)
2024;2024-025;Not found (404)
2024;2024-026;Not found (404)
2024;2024-027;Not found (404)
2024;2024-028;Not found (404)
2024;2024-029;Not found (404)
2024;2024-030;Not found (404)
2024;2024-031;Not found (404)
2024;2024-032;Not found (404)
2024;2024-033;Not found (404)
2024;2024-034;Not found (404)
2024;2024-035;Not found (404)
2024;2024-036;Not found (404)
2024;2024-037;Not found (404)
2024;2024-038;Not found (404)
2024;2024-039;Not found (404)
2024;2024-040;Not found (404)
2024;2024-041;Not found (404)
2024;2024-042;Not found (404)
2024;2024-043;Not found (404)
2024;2024-044;Not found (404)
2024;2024-045;Not found (404)
2024;2024-046;Not found (404)
2024;2024-047;Not found (404)
2024;2024-048;Not found (404)
2024;2024-049;Not found (404)
2024;2024-050;Not found (404)
2024;2024-051;Not found (404)
2024;2024-052;Not found (404)
2024;2024-053;Not found (404)
2024;2024-054;Not found (404)
2024;2024-055;Not found (404)
2024;2024-056;Not found (404)
2024;2024-057;Not found (404)
2024;2024-058;Not found (404)
2024;2024-076;Not found (404)
2024;2024-085;Not found (404)
2024;2024-087;Not found (404)
2024;2024-089;Not found (404)
2024;2024-091;Not found (404)
2024;2024-092;Not found (404)
2024;2024-093;Not found (404)
2024;2024-104;Not found (404)
2024;2024-106;Not found (404)
2024;2024-107;Not found (404)
2024;2024-108;Not found (404)
2024;2024-109;Not found (404)
2024;2024-110;Not found (404)
2024;2024-113;Not found (404)
2024;2024-114;Not found (404)
2024;2024-115;Not found (404)
2024;2024-116;Not found (404)
2024;2024-117;Not found (404)
2024;2024-118;Not found (404)
2024;2024-119;Not found (404)
2024;2024-120;Not found (404)
2024;2024-122;Not found (404)
2024;2024-124;Not found (404)
2024;2024-125;Not found (404)
2024;2024-130;Not found (404)
2024;2024-131;Not found (404)
2024;2024-133;Not found (404)
2024;2024-134;Not found (404)
2024;2024-135;Not found (404)
2024;2024-137;Not found (404)
2024;2024-138;Not found (404)
2024;2024-145;Not found (404)
2024;2024-149;Not found (404)
2024;2024-153;Not found (404)
2024;2024-158;Not found (404)
2024;2024-159;Not found (404)
2024;2024-160;Not found (404)
2024;2024-161;Not found (404)
2024;2024-162;Not found (404)
2024;2024-163;Not found (404)
2024;2024-164;Not found (404)
2024;2024-165;Not found (404)
2024;2024-166;Not found (404)
2024;2024-167;Not found (404)
2024;2024-168;Not found (404)
2024;2024-169;Not found (404)
2024;2024-170;Not found (404)
2024;2024-171;Not found (404)
2024;2024-172;Not found (404)
2024;2024-173;Not found (404)
2024;2024-174;Not found (404)
2024;2024-175;Not found (404)
2024;2024-176;Not found (404)
2024;2024-177;Not found (404)
2024;2024-178;Not found (404)
2024;2024-179;Not found (404)
2024;2024-180;Not found (404)
2024;2024-181;Not found (404)
2024;2024-182;Not found (404)
2024;2024-183;Not found (404)
2024;2024-184;Not found (404)
2024;2024-185;Not found (404)
2024;2024-186;Not found (404)
2024;2024-187;Not found (404)
2024;2024-188;Not found (404)
2024;2024-189;Not found (404)
2024;2024-190;Not found (404)
2024;2024-191;Not found (404)
2024;2024-192;Not found (404)
2024;2024-193;Not found (404)
2024;2024-194;Not found (404)
2024;2024-195;Not found (404)
2024;2024-196;Not found (404)
2024;2024-197;Not found (404)
2024;2024-198;Not found (404)
2024;2024-199;Not found (404)
2024;2024-200;Not found (404)
2024;2024-201;Not found (404)
2024;2024-202;Not found (404)
2024;2024-203;Not found (404)
2024;2024-204;Not found (404)
2024;2024-205;Not found (404)
2024;2024-208;Not found (404)
2024;2024-209;Not found (404)
2024;2024-212;Not found (404)
2024;2024-232;Excluded by scraper
2024;2024-235;Excluded by scraper
2024;2024-257;Excluded by scraper
2024;2024-258;Excluded by scraper
2024;2024-259;Excluded by scraper
2024;2024-260;Not found (404)
2024;2024-261;Not found (404)
2024;2024-262;Not found (404)
2024;2024-263;Not found (404)
2024;2024-264;Not found (404)
2024;2024-265;Not found (404)
2024;2024-266;Not found (404)
2024;2024-267;Not found (404)
2024;2024-268;Not found (404)
2024;2024-269;Not found (404)
2024;2024-270;Not found (404)
2024;2024-285;Not found (404)
2024;2024-286;Not found (404)
2024;2024-299;Excluded by scraper
2024;2024-302;Not found (404)
2024;2024-303;Not found (404)
2024;2024-304;Not found (404)
2024;2024-305;Not found (404)
2024;2024-306;Not found (404)
2024;2024-307;Not found (404)
2024;2024-308;Not found (404)
2024;2024-309;Not found (404)
2024;2024-310;Not found (404)
2024;2024-311;Not found (404)
2024;2024-312;Not found (404)
2024;2024-313;Not found (404)
2024;2024-314;Not found (404)
2024;2024-315;Not found (404)
2024;2024-316;Not found (404)
2024;2024-317;Not found (404)
2024;2024-318;Not found (404)
2023;2023-112;Not found (404)
2023;2023-211;Not found (404)
2023;2023-212;Not found (404)
2023;2023-213;Not found (404)
2023;2023-214;Not found (404)
2023;2023-215;Not found (404)
2023;2023-216;Not found (404)
2023;2023-217;Not found (404)
2023;2023-218;Not found (404)
2023;2023-236;Not found (404)
2023;2023-237;Not found (404)
2023;2023-241;Excluded by scraper
2023;2023-244;Excluded by scraper
2023;2023-250;Excluded by scraper
2023;2023-275;Not found (404)
2023;2023-302;Not found (404)
2023;2023-325;Not found (404)
2022;2022-012;Not found (404)
2022;2022-026;Not found (404)
2022;2022-030;Not found (404)
2022;2022-038;Not found (404)
2022;2022-039;Not found (404)
2022;2022-053;Not found (404)
2022;2022-054;Not found (404)
2022;2022-055;Not found (404)
2022;2022-061;Not found (404)
2022;2022-062;Not found (404)
2022;2022-067;Not found (404)
2022;2022-168;Not found (404)
2022;2022-185;Not found (404)
2022;2022-186;Not found (404)
2022;2022-187;Not found (404)
2022;2022-188;Not found (404)
2022;2022-189;Not found (404)
2022;2022-190;Not found (404)
2022;2022-191;Not found (404)
2022;2022-192;Not found (404)
2022;2022-193;Not found (404)
2022;2022-194;Excluded by scraper
2022;2022-197;Not found (404)
2022;2022-199;Excluded by scraper
2022;2022-200;Excluded by scraper
2021;2021-112;Excluded by scraper
2021;2021-118;Excluded by scraper
2021;2021-119;Excluded by scraper
2021;2021-121;Excluded by scraper
2021;2021-133;Excluded by scraper
2020;2020-014;Excluded by scraper
2020;2020-015;Excluded by scraper
2020;2020-017;Excluded by scraper
2020;2020-027;Not found (404)
