resolution_id,resolution_number,year,file_id,movie_id,pur_number,cpnd_number,incentive_article,resolution_type,investor_name,investor_rnc,local_company,producer_rnc,foreign_producer,film_title,request_date,resolution_date,validated_expenses_dop,tax_credit_dop,tax_credit_pct,total_budget_approved,total_budget_executed,extraction_confidence,needs_review,review_reasons,manually_reviewed,manual_note,source_file
1,CIPAC-2012-001,2012,,,002,,art_39,approved,,,"FILM001, INC",1-30-83426-1,,THE TRUTH,2012-02-29,2012-03-29,46168271.82,11542067.96,25.0,38432098.0,46168271.82,0.4,0,,1,"validated_amount_dop|set_manual|null|46168271.82|Converted from USD 1181628.78 using BCRD rate 39.0742 on 2012-03-29|Resolution PDF PRIMERO section|2026-08-13|JDP;;tax_credit_dop|set_manual|null|11542067.96|Converted from USD 295407.20 using BCRD rate 39.0742 on 2012-03-29|Resolution PDF SEGUNDO section|2026-08-13|JDP;;total_budget_executed|set_manual|null|46168271.82|Converted from USD 1181628.78 using BCRD rate 39.0742 on 2012-03-29|Resolution PDF budget section|2026-08-13|JDP;;total_budget_approved|set_manual|null|38432098.00|Sourced from PUR No. 002 Monto A Invertir En Rep Dom|PUR certificate No. 002|2026-08-13|JDP;;producer_rnc|set_manual|null|1-30-83426-1|OCR did not capture RNC in header|Resolution PDF header|2026-08-13|JDP;;request_date|set_manual|null|2012-02-29|Manually sourced from resolution document|Resolution PDF VISTOS section|2026-08-13|JDP;;production_company|correct_value|OCR_garbage|FILM001, INC.|OCR captured Considerando paragraph instead of company name|Resolution PDF header|2026-08-13|JDP",resolucion-cipac-no-2012-001_validacion-de-gastos-de-credito-fiscal-transferible_film001-the-truth.pdf
2,CIPAC-2012-002,2012,,,001,001,art_34,approved,"VIDEO UNIVERSAL, S.R.L.",1-22-00857-8,"ENTREPRENEUR FILMS, S.R.L.",1-30-82560-2,,EL REY DE NAJAYO,2012-03-23,2012-03-29,990000.0,990000.0,100.0,14240247.18,14240247.0,0.7,0,,1,producer_rnc|set_manual|null|1-30-82560-2|Azure read 130825602 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-13|JDP;;investor_rnc|set_manual|null|1-22-00857-0|Azure read 1-2200857-0 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-13|JDP;;total_budget_approved|set_manual|null|14240247.18|Amount sourced from CPND No. 001 El Rey De Najayo not present in resolution PDF|CPND certificate No. 001|2026-08-13|JDP,resolucion-cipac-no-2012-002_validacion-de-inversion-video-universal-el-rey-de-najayo.pdf
3,CIPAC-2012-003,2012,,,001,001,art_34,approved,"RSD REMANUFACTURE SOLUTIONS DOMINICANA, S.R.L.",1-30-23890-1,"ENTREPRENEUR FILMS, S.R.L.",1-30-82560-2,,EL REY DE NAJAYO,2012-03-23,2012-03-29,990000.0,990000.0,100.0,14240247.18,14240247.0,0.7,0,,1,producer_rnc|set_manual|null|1-30-82560-2|Azure read 130825602 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-13|JDP;;investor_rnc|set_manual|null|1-30-23890-1|Azure read 1-3023890-1 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-13|JDP;;total_budget_approved|set_manual|null|14240247.18|Amount sourced from CPND No. 001 El Rey De Najayo not present in resolution PDF|CPND certificate No. 001|2026-08-13|JDP,resolucion-cipac-no-2012-003_valicacion-de-inversion-remanufacture-solutions-dominicana-el-rey-de-najayo.pdf
4,CIPAC-2012-004,2012,,,001,001,art_34,approved,"SERVICIOS INFORMATIVOS NACIONALES NOTICIAS SIN, S.R.L.",1-30-17966-2,"ENTREPRENEUR FILMS, S.R.L.",1-30-82560-2,,EL REY DE NAJAYO,2012-03-23,2012-03-29,1073142.97,1073142.97,100.0,14240247.18,14240247.0,0.7,0,,1,producer_rnc|set_manual|null|1-30-82560-2|Azure read 130825602 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-13|JDP;;investor_rnc|set_manual|null|1-30-17966-2|Azure read 1-3017966-2 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-13|JDP;;total_budget_approved|set_manual|null|14240247.18|Amount sourced from CPND No. 001 El Rey De Najayo not present in resolution PDF|CPND certificate No. 001|2026-08-13|JDP,resolucion-cipac-no-2012-004_validacion-de-inversion-servicios-informativos-nacionales-el-rey-de-najayo.pdf
5,CIPAC-2012-005,2012,,,001,001,art_34,approved,"UNITED BRANDS, S.A.",1-24-01933-8,"ENTREPRENEUR FILMS, S.R.L.",1-30-82560-2,,EL REY DE NAJAYO,2012-03-23,2012-03-29,8257892.64,8257892.64,100.0,14240247.18,14240247.0,0.7,0,,1,producer_rnc|set_manual|null|1-30-82560-2|Azure read 130825602 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-13|JDP;;investor_rnc|set_manual|null|1-24-01933-8|Azure read 1-3017966-2 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-13|JDP;;total_budget_approved|set_manual|null|14240247.18|Amount sourced from CPND No. 001 El Rey De Najayo not present in resolution PDF|CPND certificate No. 001|2026-08-13|JDP,resolucion-cipac-no-2012-005_validacion-de-inversion-united-brands-el-rey-de-najayo.pdf
6,CIPAC-2012-010,2012,,,010,002,art_34,approved,"ALTICE DOMINICANA, S.A.",1-01-61878-7,"DRAGON FILMS, S.R.L.",1-30-84607-3,,LOTOMAN 2.0,2012-07-09,2012-07-19,20000000.0,20000000.0,100.0,46885882.5,51392492.71,0.8,0,,1,producer_rnc|set_manual|null|1-30-84607-3|Azure read 1-3084607-3 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-13|JDP;;total_budget_approved|set_manual|null|46885882.50|Amount sourced from CPND No. 002 Lotoman 2 not present in resolution PDF|CPND certificate No. 002|2026-08-13|JDP,resolucion-cipac-no-2012-010_validacion-de-inversion-orange-dominicana-lotoman-2-0.pdf
7,CIPAC-2012-011,2012,,,010,002,art_34,approved,"AES ANDRES DR, S.A.",1-01-83722-5,"DRAGON FILMS, S.R.L.",1-30-84607-3,,LOTOMAN 2.0,2012-07-09,2012-07-19,25000000.0,25000000.0,100.0,46885882.5,51392492.71,0.8,0,,1,producer_rnc|set_manual|null|1-30-84607-3|Azure read 1-3084607-3 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-13|JDP;;total_budget_approved|set_manual|null|46885882.50|Amount sourced from CPND No. 002 Lotoman 2 not present in resolution PDF|CPND certificate No. 002|2026-08-13|JDP,resolucion-cipac-no-2012-011_validacion-de-inversion-aes-andres-lotoman-2-0.pdf
8,CIPAC-2012-012,2012,,,007,004,art_34,approved,"BANCO MÚLTIPLE BDI, S.A.",1-01-04029-7,"CINDERELO, S.R.L.",1-30-86801-8,,"FEO DE DÍA, LINDO DE NOCHE",2012-07-09,2012-07-19,3504473.0,3504473.0,100.0,29736672.0,10284540.0,0.9,0,,1,"total_budget_approved|set_manual|null|29736672.00|Amount sourced from CPND No. 004 Feo De Dia, Lindo De Noche not present in resolution PDF|CPND certificate No. 004|2026-08-13|JDP",resolucion-cipac-no-2012-012_-validacion-de-inversion-banco-multiple-bdi-feo-de-dia-lindo-de-noche.pdf
9,CIPAC-2012-013,2012,,,007,004,art_34,approved,"CENTROS DEL CARIBE, S.A.S.",1-01-70451-9,"CINDERELO, S.R.L.",1-30-86801-8,,"FEO DE DÍA, LINDO DE NOCHE",2012-07-09,2012-07-19,3504473.0,3504473.0,100.0,29736672.0,10284540.0,0.8,0,,1,"investor_rnc|set_manual|null|1-01-70451-9|Azure did not read RNC format|Resolution PDF header p.1|2026-08-13|JDP;;total_budget_approved|set_manual|null|29736672.00|Amount sourced from CPND No. 004 Feo De Dia, Lindo De Noche not present in resolution PDF|CPND certificate No. 004|2026-08-13|JDP",resolucion-cipac-no-2012-013_validacion-de-inversion-centros-del-caribe-feo-de-dia-lindo-de-noche.pdf
10,CIPAC-2012-014,2012,,,007,004,art_34,approved,"ANTONIO CHAHAIN M, S.A.",1-01-08822-2,"CINDERELO, S.R.L.",1-30-86801-8,,"FEO DE DÍA, LINDO DE NOCHE",2012-07-09,2012-07-19,802405.51,802405.51,100.0,29736672.0,10284540.0,0.8,0,,1,"total_budget_executed|set_manual|null|10284540.0|Propagated from sibling resolution CIPAC-2012-012 with same film title|cipac_2012_results.json|2026-08-13|JDP;;total_budget_approved|set_manual|null|29736672.00|Amount sourced from CPND No. 004 Feo De Dia, Lindo De Noche not present in resolution PDF|CPND certificate No. 004|2026-08-13|JDP",resolucion-cipac-no-2012-014_validacion-de-inversion-anthonio-chahim-m-feo-de-dia-lindo-de-noche.pdf
